C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
122.3 	51.7 	45.3 	0.0 	-0.6 	0.0 	188.9 	62.3 	0.0 	-6.2 	0.0 	222.9 	0.0 	-30.3 	0.0 	71.5 	0.0 	5.8 	46.8 	0.0 	45.8 	
121.9 	51.2 	46.1 	0.0 	-0.8 	0.0 	189.3 	61.2 	0.0 	-7.4 	0.0 	222.4 	0.0 	-30.0 	0.0 	71.5 	0.0 	5.5 	46.6 	0.0 	46.3 	
122.5 	51.9 	46.1 	0.0 	-0.8 	0.0 	189.3 	62.4 	0.0 	-7.0 	0.0 	224.1 	0.0 	-29.9 	0.0 	71.5 	0.0 	5.5 	46.8 	0.0 	46.4 	
122.6 	51.4 	46.0 	0.0 	-0.7 	0.0 	189.7 	62.0 	0.0 	-6.8 	0.0 	224.7 	0.0 	-29.7 	0.0 	71.4 	0.0 	5.5 	46.5 	0.0 	46.3 	
123.1 	52.4 	45.9 	0.0 	-1.0 	0.0 	189.6 	62.9 	0.0 	-7.4 	0.0 	221.5 	0.0 	-30.2 	0.0 	71.9 	0.0 	5.7 	46.8 	0.0 	46.3 	
123.8 	51.6 	46.2 	0.0 	-0.6 	0.0 	190.3 	63.1 	0.0 	-6.0 	0.0 	223.1 	0.0 	-30.1 	0.0 	71.5 	0.0 	5.6 	46.6 	0.0 	46.3 	
122.7 	51.6 	46.3 	0.0 	-0.7 	0.0 	190.2 	62.3 	0.0 	-7.2 	0.0 	223.2 	0.0 	-30.0 	0.0 	71.4 	0.0 	5.3 	47.0 	0.0 	46.1 	
123.0 	51.9 	46.0 	0.0 	-0.6 	0.0 	190.1 	61.9 	0.0 	-6.7 	0.0 	222.7 	0.0 	-30.1 	0.0 	71.7 	0.0 	5.5 	46.6 	0.0 	46.5 	
122.6 	51.4 	45.8 	0.0 	-0.8 	0.0 	189.0 	62.7 	0.0 	-6.8 	0.0 	223.0 	0.0 	-29.9 	0.0 	71.4 	0.0 	5.1 	47.0 	0.0 	45.9 	
122.3 	52.3 	45.7 	0.0 	-0.8 	0.0 	189.0 	63.1 	0.0 	-7.6 	0.0 	222.7 	0.0 	-30.0 	0.0 	71.5 	0.0 	5.3 	46.9 	0.0 	46.1 	
122.1 	51.3 	46.6 	0.0 	-0.9 	0.0 	188.8 	62.3 	0.0 	-7.5 	0.0 	222.6 	0.0 	-29.7 	0.0 	71.4 	0.0 	5.0 	46.6 	0.0 	46.2 	
122.2 	51.8 	45.9 	0.0 	-0.7 	0.0 	189.3 	61.8 	0.0 	-7.4 	0.0 	223.0 	0.0 	-29.9 	0.0 	71.5 	0.0 	5.1 	46.9 	0.0 	46.2 	
122.8 	52.4 	46.0 	0.0 	-0.7 	0.0 	190.1 	63.2 	0.0 	-6.7 	0.0 	222.5 	0.0 	-30.2 	0.0 	71.8 	0.0 	5.4 	46.6 	0.0 	46.5 	
123.4 	50.5 	46.1 	0.0 	-0.8 	0.0 	189.8 	62.1 	0.0 	-7.0 	0.0 	222.5 	0.0 	-30.2 	0.0 	71.4 	0.0 	6.0 	46.7 	0.0 	46.3 	
122.4 	52.8 	46.4 	0.0 	-1.0 	0.0 	189.4 	62.2 	0.0 	-6.6 	0.0 	223.0 	0.0 	-30.4 	0.0 	71.2 	0.0 	5.2 	46.9 	0.0 	46.3 	
123.1 	51.5 	45.7 	0.0 	-0.7 	0.0 	190.0 	62.7 	0.0 	-7.3 	0.0 	222.8 	0.0 	-30.3 	0.0 	71.9 	0.0 	5.4 	46.8 	0.0 	46.3 	
123.0 	51.8 	45.6 	0.0 	-0.8 	0.0 	190.6 	62.3 	0.0 	-6.2 	0.0 	221.8 	0.0 	-30.1 	0.0 	71.4 	0.0 	5.4 	46.5 	0.0 	46.2 	
122.5 	51.1 	46.2 	0.0 	-0.6 	0.0 	188.4 	62.4 	0.0 	-6.6 	0.0 	222.1 	0.0 	-30.1 	0.0 	71.1 	0.0 	5.3 	46.7 	0.0 	46.3 	
121.9 	51.1 	46.3 	0.0 	-1.0 	0.0 	190.0 	62.4 	0.0 	-7.0 	0.0 	222.5 	0.0 	-30.1 	0.0 	71.8 	0.0 	5.5 	47.0 	0.0 	45.9 	
122.7 	52.2 	45.4 	0.0 	-0.4 	0.0 	189.3 	62.5 	0.0 	-7.9 	0.0 	221.9 	0.0 	-30.0 	0.0 	71.4 	0.0 	5.7 	46.6 	0.0 	46.1 	
122.7 	50.8 	46.2 	0.0 	-0.6 	0.0 	189.1 	63.2 	0.0 	-7.5 	0.0 	222.6 	0.0 	-30.1 	0.0 	71.1 	0.0 	5.4 	47.1 	0.0 	46.1 	
122.3 	51.7 	45.7 	0.0 	-0.5 	0.0 	189.3 	62.0 	0.0 	-7.5 	0.0 	223.5 	0.0 	-29.9 	0.0 	71.6 	0.0 	5.2 	47.1 	0.0 	46.3 	
123.6 	52.6 	45.9 	0.0 	-0.8 	0.0 	189.3 	61.6 	0.0 	-7.1 	0.0 	222.1 	0.0 	-29.8 	0.0 	71.6 	0.0 	5.3 	46.6 	0.0 	45.9 	
122.9 	50.0 	45.9 	0.0 	-0.5 	0.0 	189.6 	62.0 	0.0 	-7.7 	0.0 	223.5 	0.0 	-30.0 	0.0 	71.9 	0.0 	5.4 	46.8 	0.0 	46.2 	
122.6 	50.4 	45.6 	0.0 	-0.7 	0.0 	189.9 	61.8 	0.0 	-6.0 	0.0 	223.2 	0.0 	-29.9 	0.0 	71.1 	0.0 	5.6 	46.9 	0.0 	45.9 	
123.9 	51.1 	45.7 	0.0 	-0.7 	0.0 	189.7 	61.8 	0.0 	-6.4 	0.0 	222.5 	0.0 	-30.0 	0.0 	71.4 	0.0 	5.7 	46.8 	0.0 	46.5 	
122.7 	52.8 	46.3 	0.0 	-0.6 	0.0 	189.0 	61.9 	0.0 	-8.8 	0.0 	222.4 	0.0 	-30.0 	0.0 	71.4 	0.0 	5.3 	46.8 	0.0 	46.4 	
123.2 	51.8 	45.4 	0.0 	-0.8 	0.0 	188.7 	62.6 	0.0 	-7.4 	0.0 	222.5 	0.0 	-30.1 	0.0 	71.5 	0.0 	5.8 	46.8 	0.0 	46.3 	
123.4 	51.2 	46.0 	0.0 	-0.8 	0.0 	189.5 	62.6 	0.0 	-6.4 	0.0 	222.3 	0.0 	-30.1 	0.0 	71.6 	0.0 	5.5 	46.9 	0.0 	46.5 	
122.6 	51.7 	46.2 	0.0 	-0.8 	0.0 	189.3 	62.4 	0.0 	-6.6 	0.0 	223.1 	0.0 	-30.4 	0.0 	71.6 	0.0 	5.4 	46.7 	0.0 	46.3 	
123.0 	51.7 	45.6 	0.0 	-0.5 	0.0 	188.8 	62.2 	0.0 	-6.7 	0.0 	222.9 	0.0 	-30.0 	0.0 	71.0 	0.0 	5.6 	47.0 	0.0 	46.0 	
123.3 	52.7 	45.8 	0.0 	-0.7 	0.0 	189.6 	62.5 	0.0 	-7.0 	0.0 	223.2 	0.0 	-29.8 	0.0 	71.1 	0.0 	5.1 	46.6 	0.0 	46.6 	
123.1 	51.8 	46.1 	0.0 	-0.6 	0.0 	189.5 	61.9 	0.0 	-7.2 	0.0 	222.7 	0.0 	-30.0 	0.0 	71.3 	0.0 	5.3 	46.7 	0.0 	46.2 	
122.4 	51.9 	46.1 	0.0 	-0.9 	0.0 	188.3 	62.5 	0.0 	-7.2 	0.0 	222.6 	0.0 	-30.5 	0.0 	71.5 	0.0 	5.8 	46.8 	0.0 	45.8 	
123.0 	51.9 	45.9 	0.0 	-0.7 	0.0 	188.7 	62.5 	0.0 	-6.9 	0.0 	221.7 	0.0 	-29.9 	0.0 	71.3 	0.0 	5.4 	46.7 	0.0 	46.4 	
122.8 	50.6 	46.0 	0.0 	-0.9 	0.0 	189.4 	62.5 	0.0 	-7.0 	0.0 	223.1 	0.0 	-30.1 	0.0 	71.6 	0.0 	5.3 	46.9 	0.0 	45.9 	
123.5 	52.5 	45.9 	0.0 	-0.6 	0.0 	188.6 	62.3 	0.0 	-6.1 	0.0 	221.9 	0.0 	-30.0 	0.0 	71.6 	0.0 	5.5 	47.0 	0.0 	46.0 	
123.0 	50.9 	45.9 	0.0 	-1.0 	0.0 	189.6 	62.0 	0.0 	-6.9 	0.0 	221.9 	0.0 	-29.7 	0.0 	71.4 	0.0 	5.4 	46.7 	0.0 	46.3 	
122.3 	52.9 	45.3 	0.0 	-0.7 	0.0 	190.4 	62.5 	0.0 	-6.8 	0.0 	223.0 	0.0 	-29.9 	0.0 	71.6 	0.0 	5.4 	47.0 	0.0 	46.2 	
122.4 	52.2 	46.1 	0.0 	-0.8 	0.0 	189.8 	62.9 	0.0 	-6.9 	0.0 	223.2 	0.0 	-30.0 	0.0 	71.7 	0.0 	5.6 	46.6 	0.0 	46.5 	
122.9 	52.9 	46.0 	0.0 	-0.5 	0.0 	189.0 	62.0 	0.0 	-7.5 	0.0 	222.9 	0.0 	-30.0 	0.0 	71.5 	0.0 	5.5 	46.9 	0.0 	46.1 	
122.6 	52.0 	45.8 	0.0 	-0.6 	0.0 	189.7 	62.8 	0.0 	-6.0 	0.0 	224.4 	0.0 	-30.3 	0.0 	71.6 	0.0 	5.1 	46.8 	0.0 	46.1 	
122.3 	53.0 	46.0 	0.0 	-0.8 	0.0 	189.2 	61.6 	0.0 	-6.6 	0.0 	222.0 	0.0 	-30.0 	0.0 	71.8 	0.0 	5.5 	46.6 	0.0 	46.3 	
123.1 	52.4 	46.2 	0.0 	-0.7 	0.0 	190.1 	61.3 	0.0 	-6.2 	0.0 	222.7 	0.0 	-30.2 	0.0 	71.5 	0.0 	5.1 	46.9 	0.0 	45.9 	
122.3 	52.2 	45.6 	0.0 	-0.6 	0.0 	188.9 	62.4 	0.0 	-8.0 	0.0 	224.0 	0.0 	-30.0 	0.0 	71.3 	0.0 	5.4 	46.9 	0.0 	46.2 	
122.3 	51.8 	45.9 	0.0 	-0.8 	0.0 	189.2 	62.6 	0.0 	-7.5 	0.0 	223.7 	0.0 	-30.2 	0.0 	71.3 	0.0 	5.1 	46.7 	0.0 	45.9 	
122.1 	52.1 	45.6 	0.0 	-0.8 	0.0 	188.3 	63.0 	0.0 	-6.0 	0.0 	221.9 	0.0 	-30.1 	0.0 	71.7 	0.0 	5.2 	47.0 	0.0 	45.7 	
123.6 	52.5 	45.8 	0.0 	-0.6 	0.0 	188.8 	62.2 	0.0 	-6.0 	0.0 	222.8 	0.0 	-29.8 	0.0 	71.1 	0.0 	5.0 	46.9 	0.0 	46.4 	
122.2 	52.3 	45.4 	0.0 	-0.7 	0.0 	188.8 	62.9 	0.0 	-7.5 	0.0 	221.7 	0.0 	-29.6 	0.0 	71.6 	0.0 	5.2 	46.9 	0.0 	46.4 	
123.3 	51.6 	46.3 	0.0 	-0.7 	0.0 	189.6 	62.9 	0.0 	-6.3 	0.0 	223.5 	0.0 	-30.1 	0.0 	71.5 	0.0 	5.1 	46.8 	0.0 	46.3 	
123.3 	52.2 	46.3 	0.0 	-1.0 	0.0 	190.0 	62.9 	0.0 	-7.4 	0.0 	221.6 	0.0 	-29.8 	0.0 	71.2 	0.0 	5.2 	46.7 	0.0 	46.2 	
123.6 	51.1 	46.4 	0.0 	-0.8 	0.0 	189.0 	62.7 	0.0 	-7.4 	0.0 	223.9 	0.0 	-30.0 	0.0 	72.0 	0.0 	5.6 	46.8 	0.0 	46.1 	
122.2 	53.0 	45.7 	0.0 	-0.7 	0.0 	189.4 	63.1 	0.0 	-7.0 	0.0 	223.3 	0.0 	-29.7 	0.0 	71.7 	0.0 	5.1 	46.9 	0.0 	46.3 	
122.9 	51.4 	45.5 	0.0 	-0.7 	0.0 	189.7 	62.8 	0.0 	-6.5 	0.0 	222.3 	0.0 	-30.5 	0.0 	71.8 	0.0 	5.7 	47.0 	0.0 	46.2 	
122.5 	51.8 	45.7 	0.0 	-0.6 	0.0 	189.5 	62.9 	0.0 	-5.6 	0.0 	222.3 	0.0 	-29.6 	0.0 	71.3 	0.0 	5.5 	47.0 	0.0 	46.1 	
122.8 	51.0 	46.3 	0.0 	-0.5 	0.0 	188.4 	61.8 	0.0 	-7.1 	0.0 	221.9 	0.0 	-29.8 	0.0 	71.4 	0.0 	5.5 	46.7 	0.0 	46.1 	
123.4 	50.7 	45.8 	0.0 	-1.0 	0.0 	188.7 	63.0 	0.0 	-7.0 	0.0 	222.9 	0.0 	-29.8 	0.0 	71.7 	0.0 	5.4 	46.6 	0.0 	46.3 	
123.1 	51.6 	45.7 	0.0 	-0.7 	0.0 	189.4 	62.3 	0.0 	-7.2 	0.0 	223.6 	0.0 	-30.1 	0.0 	71.6 	0.0 	5.2 	46.8 	0.0 	46.1 	
122.4 	52.0 	46.1 	0.0 	-1.1 	0.0 	188.7 	62.2 	0.0 	-7.2 	0.0 	223.6 	0.0 	-30.1 	0.0 	71.7 	0.0 	5.2 	46.6 	0.0 	46.4 	
123.3 	51.6 	46.2 	0.0 	-0.8 	0.0 	189.6 	61.4 	0.0 	-5.6 	0.0 	221.9 	0.0 	-30.2 	0.0 	71.7 	0.0 	5.7 	46.7 	0.0 	46.3 	
122.9 	50.8 	45.9 	0.0 	-0.6 	0.0 	189.2 	62.1 	0.0 	-7.2 	0.0 	223.3 	0.0 	-29.7 	0.0 	71.4 	0.0 	5.2 	46.8 	0.0 	46.3 	
122.8 	52.7 	46.3 	0.0 	-0.3 	0.0 	188.2 	62.3 	0.0 	-7.1 	0.0 	222.1 	0.0 	-29.9 	0.0 	71.7 	0.0 	5.1 	46.9 	0.0 	46.1 	
123.7 	52.2 	45.7 	0.0 	-0.9 	0.0 	189.7 	61.6 	0.0 	-7.8 	0.0 	223.3 	0.0 	-29.8 	0.0 	71.8 	0.0 	5.3 	46.7 	0.0 	46.4 	
122.9 	52.3 	45.8 	0.0 	-1.0 	0.0 	189.8 	62.5 	0.0 	-6.8 	0.0 	222.6 	0.0 	-30.0 	0.0 	71.0 	0.0 	5.2 	46.7 	0.0 	46.5 	
122.7 	50.9 	45.5 	0.0 	-0.7 	0.0 	189.3 	61.3 	0.0 	-6.9 	0.0 	223.0 	0.0 	-30.3 	0.0 	72.0 	0.0 	5.6 	46.6 	0.0 	46.0 	
121.9 	50.9 	45.7 	0.0 	-0.9 	0.0 	189.5 	62.0 	0.0 	-7.3 	0.0 	223.1 	0.0 	-30.0 	0.0 	71.3 	0.0 	5.6 	46.8 	0.0 	46.4 	
123.2 	51.4 	45.3 	0.0 	-0.7 	0.0 	189.8 	62.6 	0.0 	-8.0 	0.0 	222.8 	0.0 	-29.8 	0.0 	71.6 	0.0 	5.4 	46.9 	0.0 	46.1 	
123.5 	51.6 	46.5 	0.0 	-0.6 	0.0 	189.5 	63.9 	0.0 	-7.4 	0.0 	222.7 	0.0 	-30.2 	0.0 	71.4 	0.0 	5.2 	46.9 	0.0 	46.0 	
123.0 	52.1 	46.1 	0.0 	-0.7 	0.0 	189.8 	61.6 	0.0 	-7.4 	0.0 	224.3 	0.0 	-30.0 	0.0 	71.3 	0.0 	5.5 	46.9 	0.0 	45.7 	
122.0 	51.0 	46.3 	0.0 	-0.7 	0.0 	190.1 	62.8 	0.0 	-7.7 	0.0 	222.8 	0.0 	-29.8 	0.0 	71.4 	0.0 	5.3 	46.6 	0.0 	46.3 	
122.3 	51.9 	45.4 	0.0 	-0.8 	0.0 	189.6 	62.5 	0.0 	-7.3 	0.0 	223.3 	0.0 	-30.0 	0.0 	71.3 	0.0 	5.7 	46.8 	0.0 	45.9 	
123.3 	52.7 	45.6 	0.0 	-0.9 	0.0 	189.3 	61.9 	0.0 	-6.5 	0.0 	222.1 	0.0 	-29.7 	0.0 	71.7 	0.0 	5.8 	46.8 	0.0 	46.1 	
121.8 	50.2 	46.3 	0.0 	-1.0 	0.0 	190.0 	62.7 	0.0 	-7.2 	0.0 	222.4 	0.0 	-29.8 	0.0 	71.5 	0.0 	5.3 	46.9 	0.0 	46.2 	
122.7 	52.2 	45.9 	0.0 	-0.9 	0.0 	189.9 	62.9 	0.0 	-6.5 	0.0 	222.8 	0.0 	-29.6 	0.0 	71.5 	0.0 	5.3 	46.6 	0.0 	46.3 	
122.8 	52.6 	45.6 	0.0 	-0.7 	0.0 	189.3 	62.2 	0.0 	-6.7 	0.0 	222.3 	0.0 	-29.9 	0.0 	71.7 	0.0 	5.6 	46.8 	0.0 	46.3 	
122.5 	50.7 	45.7 	0.0 	-0.6 	0.0 	189.5 	62.3 	0.0 	-6.3 	0.0 	224.0 	0.0 	-29.7 	0.0 	71.3 	0.0 	5.4 	46.6 	0.0 	46.3 	
122.8 	51.9 	45.5 	0.0 	-0.8 	0.0 	190.0 	63.4 	0.0 	-6.8 	0.0 	223.5 	0.0 	-30.2 	0.0 	71.7 	0.0 	5.3 	46.8 	0.0 	46.3 	
123.2 	50.7 	46.1 	0.0 	-0.7 	0.0 	189.7 	62.9 	0.0 	-6.5 	0.0 	222.6 	0.0 	-30.0 	0.0 	71.1 	0.0 	5.8 	46.8 	0.0 	46.4 	
123.0 	52.0 	45.9 	0.0 	-0.7 	0.0 	189.8 	62.6 	0.0 	-6.9 	0.0 	222.1 	0.0 	-29.9 	0.0 	71.7 	0.0 	5.5 	46.8 	0.0 	46.4 	
122.8 	50.9 	46.3 	0.0 	-0.8 	0.0 	190.0 	62.7 	0.0 	-6.7 	0.0 	223.6 	0.0 	-29.9 	0.0 	71.6 	0.0 	5.4 	46.7 	0.0 	46.3 	
123.4 	52.0 	45.9 	0.0 	-0.7 	0.0 	190.2 	62.5 	0.0 	-6.8 	0.0 	223.7 	0.0 	-30.1 	0.0 	71.5 	0.0 	5.7 	46.7 	0.0 	46.1 	
122.7 	52.5 	45.8 	0.0 	-0.6 	0.0 	189.2 	62.7 	0.0 	-7.0 	0.0 	223.9 	0.0 	-29.9 	0.0 	71.4 	0.0 	5.8 	46.8 	0.0 	46.3 	
122.5 	51.9 	45.5 	0.0 	-0.4 	0.0 	189.1 	61.9 	0.0 	-7.0 	0.0 	223.3 	0.0 	-30.2 	0.0 	71.6 	0.0 	5.1 	46.8 	0.0 	46.0 	
123.3 	53.3 	45.3 	0.0 	-0.8 	0.0 	190.4 	62.7 	0.0 	-6.9 	0.0 	222.9 	0.0 	-30.0 	0.0 	71.5 	0.0 	5.6 	47.0 	0.0 	46.5 	
122.9 	52.0 	46.4 	0.0 	-0.6 	0.0 	189.5 	61.8 	0.0 	-6.5 	0.0 	222.4 	0.0 	-29.9 	0.0 	71.3 	0.0 	5.7 	46.9 	0.0 	46.5 	
122.0 	52.0 	45.8 	0.0 	-0.7 	0.0 	188.6 	62.0 	0.0 	-6.4 	0.0 	223.0 	0.0 	-30.2 	0.0 	71.9 	0.0 	5.5 	46.9 	0.0 	46.1 	
122.5 	51.3 	45.9 	0.0 	-0.9 	0.0 	188.6 	62.7 	0.0 	-6.7 	0.0 	223.0 	0.0 	-29.9 	0.0 	71.3 	0.0 	5.2 	46.4 	0.0 	46.3 	
122.9 	51.6 	46.2 	0.0 	-0.6 	0.0 	189.3 	62.4 	0.0 	-6.9 	0.0 	223.1 	0.0 	-29.7 	0.0 	71.5 	0.0 	5.5 	47.0 	0.0 	46.1 	
123.0 	52.7 	46.0 	0.0 	-0.6 	0.0 	188.9 	61.9 	0.0 	-6.7 	0.0 	224.0 	0.0 	-30.0 	0.0 	71.6 	0.0 	5.5 	46.8 	0.0 	46.6 	
122.7 	51.5 	46.0 	0.0 	-0.8 	0.0 	190.1 	61.6 	0.0 	-7.2 	0.0 	223.1 	0.0 	-29.8 	0.0 	71.5 	0.0 	5.2 	47.0 	0.0 	46.0 	
122.6 	52.7 	45.9 	0.0 	-0.6 	0.0 	188.2 	63.1 	0.0 	-6.4 	0.0 	222.9 	0.0 	-29.9 	0.0 	71.8 	0.0 	5.7 	47.0 	0.0 	46.0 	
123.2 	51.7 	46.0 	0.0 	-0.9 	0.0 	188.8 	62.5 	0.0 	-6.1 	0.0 	223.3 	0.0 	-29.8 	0.0 	71.7 	0.0 	5.0 	46.8 	0.0 	46.4 	
123.0 	52.4 	46.1 	0.0 	-0.8 	0.0 	188.8 	62.5 	0.0 	-6.7 	0.0 	224.7 	0.0 	-30.1 	0.0 	71.5 	0.0 	5.4 	46.8 	0.0 	46.0 	
123.0 	51.6 	45.9 	0.0 	-1.1 	0.0 	188.5 	61.4 	0.0 	-7.4 	0.0 	223.3 	0.0 	-30.3 	0.0 	71.7 	0.0 	5.6 	46.7 	0.0 	46.3 	
123.0 	51.9 	46.0 	0.0 	-0.6 	0.0 	190.0 	62.4 	0.0 	-7.1 	0.0 	222.5 	0.0 	-29.9 	0.0 	71.2 	0.0 	5.6 	46.7 	0.0 	45.9 	
123.5 	52.1 	45.8 	0.0 	-0.7 	0.0 	190.0 	61.6 	0.0 	-7.3 	0.0 	223.0 	0.0 	-29.8 	0.0 	71.4 	0.0 	5.6 	46.7 	0.0 	45.9 	
122.8 	50.4 	46.2 	0.0 	-0.6 	0.0 	189.4 	63.2 	0.0 	-6.1 	0.0 	222.5 	0.0 	-29.9 	0.0 	71.4 	0.0 	5.2 	46.8 	0.0 	46.4 	
123.0 	51.4 	46.0 	0.0 	-0.6 	0.0 	189.7 	62.2 	0.0 	-6.2 	0.0 	222.2 	0.0 	-30.1 	0.0 	71.5 	0.0 	5.4 	46.7 	0.0 	46.2 	
123.2 	51.7 	46.2 	0.0 	-1.0 	0.0 	189.1 	62.0 	0.0 	-6.6 	0.0 	222.9 	0.0 	-30.1 	0.0 	71.0 	0.0 	5.3 	46.9 	0.0 	45.9 	
123.0 	50.7 	45.9 	0.0 	-0.8 	0.0 	188.9 	61.6 	0.0 	-6.2 	0.0 	222.0 	0.0 	-30.1 	0.0 	71.3 	0.0 	5.2 	46.8 	0.0 	45.9 	
122.8 	53.1 	45.8 	0.0 	-0.8 	0.0 	189.6 	62.0 	0.0 	-7.3 	0.0 	221.6 	0.0 	-29.9 	0.0 	71.7 	0.0 	5.6 	46.8 	0.0 	45.8 	
123.2 	51.7 	45.4 	0.0 	-0.4 	0.0 	189.6 	62.5 	0.0 	-6.7 	0.0 	223.3 	0.0 	-30.0 	0.0 	71.8 	0.0 	4.8 	46.9 	0.0 	46.2 	
122.9 	52.3 	45.7 	0.0 	-0.6 	0.0 	189.7 	61.7 	0.0 	-7.6 	0.0 	224.3 	0.0 	-29.6 	0.0 	71.2 	0.0 	5.2 	47.1 	0.0 	46.2 	
122.5 	51.5 	45.9 	0.0 	-0.6 	0.0 	189.5 	62.1 	0.0 	-7.5 	0.0 	223.1 	0.0 	-29.8 	0.0 	71.5 	0.0 	5.3 	46.6 	0.0 	46.2 	
122.7 	51.9 	46.4 	0.0 	-0.7 	0.0 	189.2 	62.6 	0.0 	-7.5 	0.0 	222.1 	0.0 	-29.9 	0.0 	71.5 	0.0 	5.3 	46.9 	0.0 	46.0 	
123.5 	52.5 	45.5 	0.0 	-0.6 	0.0 	188.6 	62.3 	0.0 	-7.5 	0.0 	223.0 	0.0 	-29.8 	0.0 	72.0 	0.0 	5.3 	46.8 	0.0 	46.3 	
122.0 	52.2 	45.4 	0.0 	-0.5 	0.0 	188.7 	62.4 	0.0 	-6.3 	0.0 	223.5 	0.0 	-29.8 	0.0 	71.2 	0.0 	5.4 	46.8 	0.0 	46.0 	
122.0 	51.8 	45.7 	0.0 	-0.9 	0.0 	188.8 	62.1 	0.0 	-7.2 	0.0 	223.7 	0.0 	-29.9 	0.0 	71.4 	0.0 	5.4 	46.7 	0.0 	45.8 	
124.0 	52.3 	45.2 	0.0 	-0.9 	0.0 	189.3 	61.9 	0.0 	-7.0 	0.0 	222.6 	0.0 	-30.4 	0.0 	71.4 	0.0 	5.2 	46.6 	0.0 	46.2 	
122.7 	50.7 	46.0 	0.0 	-0.7 	0.0 	190.4 	62.2 	0.0 	-7.4 	0.0 	221.9 	0.0 	-30.3 	0.0 	71.7 	0.0 	5.5 	46.8 	0.0 	46.2 	
122.5 	51.3 	46.0 	0.0 	-0.4 	0.0 	187.6 	62.8 	0.0 	-6.6 	0.0 	222.5 	0.0 	-30.2 	0.0 	71.0 	0.0 	5.5 	46.9 	0.0 	46.2 	
122.5 	52.3 	46.0 	0.0 	-0.8 	0.0 	188.5 	63.0 	0.0 	-6.9 	0.0 	223.6 	0.0 	-29.7 	0.0 	71.7 	0.0 	5.3 	46.6 	0.0 	46.1 	
122.9 	51.9 	45.6 	0.0 	-0.5 	0.0 	189.0 	62.9 	0.0 	-7.1 	0.0 	223.1 	0.0 	-29.7 	0.0 	71.6 	0.0 	5.4 	46.7 	0.0 	46.5 	
123.1 	52.4 	45.8 	0.0 	-1.0 	0.0 	189.8 	62.4 	0.0 	-5.6 	0.0 	222.7 	0.0 	-29.7 	0.0 	71.4 	0.0 	5.9 	46.8 	0.0 	46.3 	
123.0 	50.4 	45.8 	0.0 	-0.8 	0.0 	189.3 	62.4 	0.0 	-6.3 	0.0 	223.4 	0.0 	-30.0 	0.0 	71.9 	0.0 	5.2 	46.7 	0.0 	46.0 	
123.0 	51.1 	46.0 	0.0 	-0.8 	0.0 	189.6 	61.7 	0.0 	-6.7 	0.0 	224.2 	0.0 	-30.2 	0.0 	71.8 	0.0 	5.4 	47.0 	0.0 	45.8 	
122.6 	50.8 	46.0 	0.0 	-0.7 	0.0 	189.7 	62.1 	0.0 	-7.2 	0.0 	223.0 	0.0 	-30.0 	0.0 	71.6 	0.0 	5.1 	46.7 	0.0 	46.4 	
122.9 	51.5 	45.8 	0.0 	-0.6 	0.0 	190.0 	62.6 	0.0 	-6.5 	0.0 	223.5 	0.0 	-30.0 	0.0 	71.7 	0.0 	5.4 	46.9 	0.0 	46.1 	
123.6 	50.8 	46.0 	0.0 	-1.1 	0.0 	188.9 	62.7 	0.0 	-6.6 	0.0 	223.8 	0.0 	-30.2 	0.0 	71.6 	0.0 	5.8 	46.8 	0.0 	46.2 	
123.8 	51.1 	46.0 	0.0 	-0.8 	0.0 	188.0 	62.3 	0.0 	-6.3 	0.0 	223.3 	0.0 	-30.1 	0.0 	71.0 	0.0 	5.3 	46.6 	0.0 	46.3 	
123.0 	51.6 	46.3 	0.0 	-0.7 	0.0 	188.7 	62.7 	0.0 	-6.7 	0.0 	223.8 	0.0 	-30.1 	0.0 	71.6 	0.0 	5.5 	46.8 	0.0 	46.0 	
122.0 	52.1 	45.7 	0.0 	-0.9 	0.0 	188.7 	61.8 	0.0 	-7.2 	0.0 	222.3 	0.0 	-30.0 	0.0 	70.9 	0.0 	5.4 	46.8 	0.0 	46.3 	
122.8 	51.2 	45.5 	0.0 	-0.4 	0.0 	189.4 	61.9 	0.0 	-6.8 	0.0 	222.6 	0.0 	-30.1 	0.0 	71.4 	0.0 	5.7 	46.6 	0.0 	46.3 	
122.3 	51.2 	45.7 	0.0 	-0.8 	0.0 	189.6 	61.6 	0.0 	-7.0 	0.0 	222.8 	0.0 	-30.3 	0.0 	71.4 	0.0 	5.4 	46.8 	0.0 	46.3 	
122.5 	51.8 	46.0 	0.0 	-0.8 	0.0 	189.6 	62.7 	0.0 	-7.4 	0.0 	222.6 	0.0 	-30.3 	0.0 	71.7 	0.0 	5.5 	46.7 	0.0 	45.9 	
123.0 	51.5 	45.9 	0.0 	-0.9 	0.0 	190.7 	62.5 	0.0 	-6.8 	0.0 	222.0 	0.0 	-29.9 	0.0 	71.4 	0.0 	5.1 	46.6 	0.0 	46.2 	
123.0 	51.5 	46.1 	0.0 	-0.7 	0.0 	189.9 	63.0 	0.0 	-6.2 	0.0 	223.6 	0.0 	-30.0 	0.0 	71.3 	0.0 	5.6 	46.9 	0.0 	46.2 	
